name,address,latitude,longitude,hours,website,phone
Le Monde Café Bar,"21, Store Street, Dublin",53.350192,-6.252762,,https://www.beresfordhotelifsc.com/en/bar/,+353 1 8134700
The Old Punch Bowl,"116, Rock Road",53.308766,-6.19666,"Su 12:00-23:00; Mo-Th 11:00-23:30; Fr,Sa 11:00-00:30",http://theoldpunchbowl.ie/,+353-1-283-2356
Palmerstown House,"Old Lucan Road, Palmerstown",53.356444,-6.370622,,https://palmerstownhousepub.ie/,
Silver Granite,,53.350075,-6.377403,,,
The Ark,,53.354152,-6.402867,,,
The Barge,"42, Charlemont Street, Dublin",53.330551,-6.260588,,https://www.thebarge.ie/,
The Foxhunter,,53.358604,-6.418894,,,
Marino House (Kavanagh's),"16, Malahide Road, Dublin",53.365756,-6.228816,"Mo-Th 10:30-23:30, Fr-Sa 10:30-00:30, Su 12:30-23:00",,+353 1 8332786
The Clubhouse,,53.308248,-6.22707,,,
The Lower Deck,"3, Portobello Harbour, Dublin",53.330686,-6.265238,,,
Arlington Bar & Restaurant,"23-25, Bachelors Walk, Dublin",53.347252,-6.260933,,https://www.arlington.ie/dining/,
Bar@Tolka,,53.367676,-6.251268,,,
Fallon’s,"129, The Coombe, Dublin",53.338984,-6.273376,,,
The Wind Jammer,"18, Lombard Street East, Dublin",53.345276,-6.248348,Mo-Su 07:00-24:00,,
Harkin’s,"6, Echlin Street, Dublin",53.342499,-6.288525,,https://harkinsbar.ie,+35315169601
Vaughan’s Eagle House,"105-107, Terenure Road North, Dublin",53.310054,-6.283245,,,
Brady’s,"5-9, Terenure Place, Dublin",53.309805,-6.284137,,,
Padraig Pearse,"81, Pearse Street, Dublin",53.343349,-6.244742,,,
Sin É,"14, Ormond Quay Upper, Dublin",53.345976,-6.269599,"Mo-We 15:00-01:00, Th 15:00-02:30, Fr-Sa 15:00-15:30, Su 15:00-01:00",,+353 1 555 4036
O'Reilly's,"George's Quay, Dublin",53.347097,-6.254074,,,
The Bull & Castle Bar,"5-7, Christchurch Place, Dublin",53.343457,-6.26987,,https://www.thebuckleycollection.ie/bull-castle-steakhouse,
Woolshed Baa & Grill,"Parnell Street, Dublin",53.350267,-6.267469,Mo-Tu 12:00-23:30; We 12:00-02:30; Th 12:00-02:00; Fr-Sa 12:00-01:00; Su 12:00-23:00,https://www.woolshedbaa.com/dublin,+35318724325
Oarsman,"Bridge Street, Dublin",53.341667,-6.227753,,,
John Clarke and Sons,"12-14, Bridge Street, Dublin",53.341687,-6.227584,,,
The Vintage Inn,"74, Irishtown Road, Dublin",53.338688,-6.222932,,,
The Merry Cobbler,"78–82, Irishtown Road, Dublin",53.338584,-6.2226,,,
