name,name_ga,county,lat,lon,type
Victoria Cross,,,51.8928821,-8.5053504,suburb
Mayfield,Baile na mBocht,,51.9124385,-8.4328014,suburb
Garvary,,,54.3589668,-7.5774441,hamlet
Rosslare Harbour,,,52.2497333,-6.3401152,village
Carrick-on-Shannon,Cora Droma Rúisc,,53.9441461,-8.0952772,town
Ballyleague,,,53.6753208,-7.9954124,village
Blackwaterfoot,Bun na Dubh-Abhainn,,55.5018269,-5.3325258,village
Machrie,,,55.5510722,-5.3378949,hamlet
Ballinahown,,Westmeath,53.3504097,-7.8490283,village
Horseleap,,,53.3926367,-7.5814989,village
Kilruane,,,52.8945265,-8.1368806,village
Clonskeagh,Cluain Sceach,,53.3055697,-6.2368608,suburb
Ballyogan,Baile Ui Ógain,,53.2582951,-6.1971705,village
Ballinrobe,Baile an Róba,Mayo,53.6240883,-9.2220833,town
Fenit,An Fhianait,,52.2766382,-9.8644109,village
Bellewstown,,Meath,53.6454553,-6.3486621,village
Iaráirne,Iaráirne,Galway,53.0987292,-9.6511659,hamlet
Rathangan,Ráth Iomgháin,,53.2203302,-6.9929735,village
Ballylaneen,,Waterford,52.1731687,-7.399231,hamlet
An Clochán Liath,An Clochán Liath,,54.9506706,-8.3597405,town
Emyvale,Scairbh na gCaorach,,54.3407498,-6.9593554,village
Bangor Erris,Baingear,,54.1444001,-9.7427281,village
Murrisk,,,53.7790044,-9.6354075,village
An Baile Thiar,An Baile Thiar,Donegal,55.2649716,-8.2272976,village
Arklow,An tInbhear Mór,Wicklow,52.798221,-6.1540035,town
Crinkill,Críonchoill,,53.0778755,-7.8987379,village
Béal an Mhuirthead,Béal an Mhuirthead,,54.22411,-9.9872173,town
Midleton,Mainister na Corann,Cork,51.9142741,-8.1700962,town
Rossduff,,Waterford,52.199722,-7.021389,hamlet
Ardagh,Ardach,,52.494444,-9.0630561,village
Ballyhooly,An Baile Átha hÚlla,,52.1441412,-8.3978625,village
Ferns,Fearna,Wexford,52.5897916,-6.4952889,town
Dromineer,,,52.9243713,-8.2765168,village
Pointe,Pointe,,53.2410294,-9.5893644,hamlet
Brittas,,,53.2360108,-6.4541965,village
Clane,Claonadh,,53.2911753,-6.6861147,town
Shannon,Sionainn,Clare,52.7104544,-8.8788366,town
