name,address,latitude,longitude,hours,website,phone,nearestSpot,nearestSpotCounty
Hell Cat Maggies,"2, Donegall Square West",54.59697,-5.931746,Check local listings,,,Belfast,
Boot Inn,,53.43189,-6.264282,Check local listings,,,Saint Margaret’s,
Le Monde Café Bar,"21, Store Street, Dublin",53.350192,-6.252762,Check local listings,https://www.beresfordhotelifsc.com/en/bar/,+353 1 8134700,Dublin,
Ballinteer House,"Ballinteer Avenue, Balinteer",53.274764,-6.254596,Check local listings,,,Ballinteer,Dublin
The Old Punch Bowl,"116, Rock Road",53.308766,-6.19666,"Su 12:00-23:00; Mo-Th 11:00-23:30; Fr,Sa 11:00-00:30",http://theoldpunchbowl.ie/,+353-1-283-2356,Booterstown,Dublin
Palmerstown House,"Old Lucan Road, Palmerstown",53.356444,-6.370622,Check local listings,https://palmerstownhousepub.ie/,,Palmerstown,Dublin
Silver Granite,,53.350075,-6.377403,Check local listings,,,Palmerstown,Dublin
The Ark,,53.354152,-6.402867,Check local listings,,,Palmerstown,Dublin
The Barge,"42, Charlemont Street, Dublin",53.330551,-6.260588,Check local listings,https://www.thebarge.ie/,,Rathmines,Dublin
The Gallops,,53.258233,-6.19742,Check local listings,,,Ballyogan,
The Foxhunter,,53.358604,-6.418894,Check local listings,,,Lucan,Dublin
Four Winds,"111, Newton Park",54.555942,-5.893965,Check local listings,https://thefourwinds.co.uk/,,Knockbreda,
The Dirty Duck Alehouse,"2-4, Kinnegar Road, Holywood",54.641086,-5.841285,Check local listings,https://thedirtyduckalehouse.co.uk/,+4428 9059 6666,Holywood,Down
The Bridge Bar,,52.952146,-7.804405,Check local listings,,,Roscrea,
Grace's Bar,,52.943291,-8.043248,Mo-Su 19:00-00:30,,,Cloughjordan,Tipperary
The Fairways Bar,,52.895484,-8.135454,Check local listings,,,Kilruane,
Muls@47,"47, Kenyon Street, Nenagh",52.861343,-8.197462,Check local listings,,,Nenagh,Tipperary
Ryan's The Corner House Pub,"Main Street, Cloughjordan",52.942893,-8.036784,Check local listings,,,Cloughjordan,
The Three Shippes,"18, William Street, Waterford",52.257894,-7.103303,Check local listings,,,Waterford,
Marino House (Kavanagh's),"16, Malahide Road, Dublin",53.365756,-6.228816,"Mo-Th 10:30-23:30, Fr-Sa 10:30-00:30, Su 12:30-23:00",,+353 1 8332786,Marino,Dublin
The Hurlers,,52.667777,-8.557974,Check local listings,,,Castletroy,Limerick
The Windmill Bar,"48-49, Henry Street, Limerick",52.658578,-8.633742,Check local listings,,,Limerick,
The Clubhouse,,53.308248,-6.22707,Check local listings,,,Clonskeagh,
Dunphy's,,52.217678,-7.382136,Check local listings,,,Newtown,Waterford
O’Neill’s,Tramore,52.163064,-7.153875,Check local listings,,,Tramore,Waterford
Mol’s Bar,"2, Summer Hill, Tramore",52.163026,-7.153714,Check local listings,,,Tramore,Waterford
Robinson’s,"Summer Hill, Tramore",52.162935,-7.15328,Check local listings,,,Tramore,Waterford
Fenton's,,52.983716,-6.552544,Check local listings,,,Glen of Imaal,Wicklow
Goosers,"Main Street, Ballina",52.806998,-8.435667,Check local listings,https://www.goosers.com,+35361376791,Ballina,
